class,sepal_length,sepal_width,petal_length,petal_width
setosa,B,D,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,D,A,A
setosa,B,D,B,B
setosa,A,D,A,B
setosa,A,D,A,A
setosa,A,B,A,A
setosa,A,C,A,A
setosa,B,D,A,A
setosa,A,D,B,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,C,D,A,A
setosa,B,D,A,B
setosa,B,D,A,B
setosa,B,D,A,B
setosa,B,D,B,B
setosa,B,D,A,B
setosa,B,D,B,A
setosa,B,D,A,B
setosa,A,D,A,A
setosa,B,D,B,B
setosa,A,D,B,A
setosa,A,C,B,A
setosa,A,D,B,B
setosa,B,D,A,A
setosa,B,D,A,A
setosa,A,C,B,A
setosa,A,C,B,A
setosa,B,D,A,B
setosa,B,D,A,A
setosa,B,D,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,B,D,A,A
setosa,A,D,A,A
setosa,A,C,A,A
setosa,B,D,A,A
setosa,A,D,A,B
setosa,A,A,A,B
setosa,A,C,A,A
setosa,A,D,B,B
setosa,B,D,B,B
setosa,A,C,A,B
setosa,B,D,B,A
setosa,A,C,A,A
setosa,B,D,A,A
setosa,A,D,A,A
versicolor,D,C,C,C
versicolor,D,C,C,C
versicolor,D,C,C,C
versicolor,B,A,B,C
versicolor,D,B,C,C
versicolor,B,B,C,C
versicolor,C,D,C,C
versicolor,A,A,B,B
versicolor,D,B,C,C
versicolor,B,A,B,C
versicolor,A,A,B,B
versicolor,C,C,B,C
versicolor,C,A,B,B
versicolor,C,B,C,C
versicolor,B,B,B,C
versicolor,D,C,C,C
versicolor,B,C,C,C
versicolor,C,A,B,B
versicolor,C,A,C,C
versicolor,B,A,B,B
versicolor,C,C,C,D
versicolor,C,B,B,C
versicolor,C,A,C,C
versicolor,C,B,C,B
versicolor,D,B,B,C
versicolor,D,C,C,C
versicolor,D,B,C,C
versicolor,D,C,C,C
versicolor,C,B,C,C
versicolor,B,A,B,B
versicolor,B,A,B,B
versicolor,B,A,B,B
versicolor,C,A,B,B
versicolor,C,A,D,C
versicolor,B,C,C,C
versicolor,C,D,C,C
versicolor,D,C,C,C
versicolor,C,A,C,C
versicolor,B,C,B,C
versicolor,B,A,B,C
versicolor,B,A,C,B
versicolor,C,C,C,C
versicolor,C,A,B,B
versicolor,A,A,B,B
versicolor,B,A,B,C
versicolor,B,C,B,B
versicolor,B,B,B,C
versicolor,C,B,B,C
versicolor,B,A,B,B
versicolor,B,B,B,C
virginica,C,D,D,D
virginica,C,A,D,D
virginica,D,C,D,D
virginica,C,B,D,D
virginica,D,C,D,D
virginica,D,C,D,D
virginica,A,A,C,C
virginica,D,B,D,D
virginica,D,A,D,D
virginica,D,D,D,D
virginica,D,C,D,D
virginica,D,A,D,D
virginica,D,C,D,D
virginica,B,A,C,D
virginica,C,B,D,D
virginica,D,C,D,D
virginica,D,C,D,D
virginica,D,D,D,D
virginica,D,A,D,D
virginica,C,A,C,C
virginica,D,C,D,D
virginica,B,B,C,D
virginica,D,B,D,D
virginica,C,A,C,D
virginica,D,D,D,D
virginica,D,C,D,D
virginica,C,B,C,D
virginica,C,C,C,D
virginica,D,B,D,D
virginica,D,C,D,C
virginica,D,B,D,D
virginica,D,D,D,D
virginica,D,B,D,D
virginica,C,B,D,C
virginica,C,A,D,C
virginica,D,C,D,D
virginica,C,D,D,D
virginica,D,C,D,D
virginica,C,C,C,D
virginica,D,C,D,D
virginica,D,C,D,D
virginica,D,C,D,D
virginica,C,A,D,D
virginica,D,C,D,D
virginica,D,D,D,D
virginica,D,C,D,D
virginica,C,A,C,D
virginica,D,C,D,D
virginica,C,D,D,D
virginica,C,C,D,D
