class,sepal_length,sepal_width,petal_length,petal_width
setosa,A,C,A,A
setosa,A,B,A,A
setosa,A,B,A,A
setosa,A,B,A,A
setosa,A,C,A,A
setosa,B,D,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,B,A,A
setosa,A,B,A,A
setosa,B,C,A,A
setosa,A,C,A,A
setosa,A,B,A,A
setosa,A,B,A,A
setosa,B,D,A,A
setosa,B,D,A,A
setosa,B,D,A,A
setosa,A,C,A,A
setosa,B,C,A,A
setosa,A,C,A,A
setosa,B,C,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,B,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,B,A,A
setosa,A,B,A,A
setosa,B,C,A,A
setosa,A,D,A,A
setosa,B,D,A,A
setosa,A,B,A,A
setosa,A,B,A,A
setosa,B,C,A,A
setosa,A,C,A,A
setosa,A,B,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,A,A,A
setosa,A,B,A,A
setosa,A,C,A,A
setosa,A,C,A,A
setosa,A,B,A,A
setosa,A,C,A,A
setosa,A,B,A,A
setosa,B,C,A,A
setosa,A,C,A,A
versicolor,C,B,C,C
versicolor,C,B,C,C
versicolor,C,B,C,C
versicolor,B,A,C,B
versicolor,C,B,C,C
versicolor,B,B,C,B
versicolor,C,C,C,C
versicolor,A,A,B,B
versicolor,C,B,C,B
versicolor,A,B,B,C
versicolor,A,A,B,B
versicolor,B,B,C,C
versicolor,B,A,C,B
versicolor,B,B,C,C
versicolor,B,B,B,B
versicolor,C,B,C,C
versicolor,B,B,C,C
versicolor,B,B,C,B
versicolor,C,A,C,C
versicolor,B,A,B,B
versicolor,B,B,C,C
versicolor,B,B,C,B
versicolor,C,A,C,C
versicolor,B,B,C,B
versicolor,C,B,C,B
versicolor,C,B,C,C
versicolor,C,B,C,C
versicolor,C,B,C,C
versicolor,B,B,C,C
versicolor,B,A,B,B
versicolor,B,A,B,B
versicolor,B,A,B,B
versicolor,B,B,B,B
versicolor,B,B,C,C
versicolor,B,B,C,C
versicolor,B,C,C,C
versicolor,C,B,C,C
versicolor,C,A,C,B
versicolor,B,B,C,B
versicolor,B,A,C,B
versicolor,B,A,C,B
versicolor,B,B,C,C
versicolor,B,A,C,B
versicolor,A,A,B,B
versicolor,B,B,C,B
versicolor,B,B,C,B
versicolor,B,B,C,B
versicolor,C,B,C,B
versicolor,A,A,B,B
versicolor,B,B,C,B
virginica,C,C,D,D
virginica,B,B,C,C
virginica,D,B,D,D
virginica,C,B,D,C
virginica,C,B,D,D
virginica,D,B,D,D
virginica,A,A,C,C
virginica,D,B,D,C
virginica,C,A,D,C
virginica,D,C,D,D
virginica,C,B,C,D
virginica,C,B,C,C
virginica,C,B,D,D
virginica,B,A,C,D
virginica,B,B,C,D
virginica,C,B,C,D
virginica,C,B,D,C
virginica,D,C,D,D
virginica,D,A,D,D
virginica,B,A,C,C
virginica,C,B,D,D
virginica,B,B,C,D
virginica,D,B,D,D
virginica,C,B,C,C
virginica,C,C,D,D
virginica,D,B,D,C
virginica,C,B,C,C
virginica,B,B,C,C
virginica,C,B,D,D
virginica,D,B,D,C
virginica,D,B,D,C
virginica,D,C,D,D
virginica,C,B,D,D
virginica,C,B,C,C
virginica,B,A,D,C
virginica,D,B,D,D
virginica,C,C,D,D
virginica,C,B,D,C
virginica,B,B,C,C
virginica,C,B,C,D
virginica,C,B,D,D
virginica,C,B,C,D
virginica,B,B,C,C
virginica,C,B,D,D
virginica,C,C,D,D
virginica,C,B,C,D
virginica,C,A,C,C
virginica,C,B,C,D
virginica,C,C,C,D
virginica,B,B,C,C
