class,sepal_length,sepal_width,petal_length,petal_width
setosa,C,D,B,B
setosa,C,C,B,B
setosa,C,A,B,B
setosa,C,A,B,B
setosa,C,D,B,B
setosa,B,D,B,B
setosa,C,A,B,B
setosa,C,A,B,B
setosa,C,C,B,B
setosa,C,A,B,B
setosa,B,D,B,B
setosa,C,A,B,B
setosa,C,C,B,B
setosa,C,C,B,B
setosa,B,D,B,B
setosa,B,D,B,B
setosa,B,D,B,B
setosa,C,D,B,B
setosa,B,D,B,B
setosa,C,D,B,B
setosa,B,A,B,B
setosa,C,D,B,B
setosa,C,D,B,B
setosa,C,A,B,B
setosa,C,A,B,B
setosa,C,C,B,B
setosa,C,A,B,B
setosa,C,D,B,B
setosa,C,A,B,B
setosa,C,A,B,B
setosa,C,A,B,B
setosa,B,A,B,B
setosa,C,D,B,B
setosa,B,D,B,B
setosa,C,A,B,B
setosa,C,A,B,B
setosa,B,D,B,B
setosa,C,D,B,B
setosa,C,C,B,B
setosa,C,A,B,B
setosa,C,D,B,B
setosa,C,B,B,B
setosa,C,A,B,B
setosa,C,D,B,B
setosa,C,D,B,B
setosa,C,C,B,B
setosa,C,D,B,B
setosa,C,A,B,B
setosa,B,D,B,B
setosa,C,A,B,B
versicolor,D,A,A,C
versicolor,A,A,A,A
versicolor,D,A,A,A
versicolor,B,B,C,C
versicolor,A,C,A,A
versicolor,B,C,A,C
versicolor,A,A,A,A
versicolor,C,B,C,C
versicolor,A,C,A,C
versicolor,C,B,C,C
versicolor,C,B,C,C
versicolor,B,C,C,A
versicolor,A,B,C,C
versicolor,A,C,A,C
versicolor,B,C,C,C
versicolor,A,A,A,C
versicolor,B,C,A,A
versicolor,B,B,C,C
versicolor,A,B,A,A
versicolor,B,B,C,C
versicolor,B,A,A,A
versicolor,A,C,C,C
versicolor,A,B,A,A
versicolor,A,C,A,C
versicolor,A,C,C,C
versicolor,A,C,A,C
versicolor,D,C,A,C
versicolor,A,C,A,A
versicolor,A,C,A,A
versicolor,B,B,C,C
versicolor,B,B,C,C
versicolor,B,B,C,C
versicolor,B,B,C,C
versicolor,A,B,A,A
versicolor,B,C,A,A
versicolor,A,A,A,A
versicolor,A,A,A,A
versicolor,A,B,A,C
versicolor,B,C,C,C
versicolor,B,B,C,C
versicolor,B,B,A,C
versicolor,A,C,A,C
versicolor,B,B,C,C
versicolor,C,B,C,C
versicolor,B,B,C,C
versicolor,B,C,C,C
versicolor,B,C,C,C
versicolor,A,C,C,C
versicolor,C,B,C,C
versicolor,B,C,C,C
virginica,A,A,D,D
virginica,B,B,A,A
virginica,D,C,D,D
virginica,A,C,D,A
virginica,A,C,D,D
virginica,D,C,D,D
virginica,C,B,A,A
virginica,D,C,D,A
virginica,A,B,D,A
virginica,D,D,D,D
virginica,A,A,A,A
virginica,A,B,A,A
virginica,D,C,D,D
virginica,B,B,A,A
virginica,B,C,A,D
virginica,A,A,A,D
virginica,A,C,D,A
virginica,D,D,D,D
virginica,D,B,D,D
virginica,A,B,A,A
virginica,D,A,D,D
virginica,B,C,A,A
virginica,D,C,D,A
virginica,A,B,A,A
virginica,A,A,D,D
virginica,D,A,D,A
virginica,A,C,A,A
virginica,A,C,A,A
virginica,A,C,D,D
virginica,D,C,D,A
virginica,D,C,D,A
virginica,D,D,D,A
virginica,A,C,D,D
virginica,A,C,A,A
virginica,A,B,D,C
virginica,D,C,D,D
virginica,A,A,D,D
virginica,A,A,D,A
virginica,A,C,A,A
virginica,D,A,D,D
virginica,A,A,D,D
virginica,D,A,A,D
virginica,B,B,A,A
virginica,D,A,D,D
virginica,A,A,D,D
virginica,A,C,A,D
virginica,A,B,A,A
virginica,A,C,A,A
virginica,A,A,D,D
virginica,B,C,A,A
