id,Class,sepal length,sepal width
1,Iris-setosa,5.1,3.5
2,Iris-setosa,4.9,3.0
3,Iris-setosa,4.7,3.2
4,Iris-setosa,4.6,3.1
5,Iris-setosa,5.0,3.6
6,Iris-setosa,5.4,3.9
7,Iris-setosa,4.6,3.4
8,Iris-setosa,5.0,3.4
9,Iris-setosa,4.4,2.9
10,Iris-setosa,4.9,3.1
11,Iris-setosa,5.4,3.7
12,Iris-setosa,4.8,3.4
13,Iris-setosa,4.8,3.0
14,Iris-setosa,4.3,3.0
15,Iris-setosa,5.8,4.0
16,Iris-setosa,5.7,4.4
17,Iris-setosa,5.4,3.9
18,Iris-setosa,5.1,3.5
19,Iris-setosa,5.7,3.8
20,Iris-setosa,5.1,3.8
21,Iris-setosa,5.4,3.4
22,Iris-setosa,5.1,3.7
23,Iris-setosa,4.6,3.6
24,Iris-setosa,5.1,3.3
25,Iris-setosa,4.8,3.4
26,Iris-setosa,5.0,3.0
27,Iris-setosa,5.0,3.4
28,Iris-setosa,5.2,3.5
29,Iris-setosa,5.2,3.4
30,Iris-setosa,4.7,3.2
31,Iris-setosa,4.8,3.1
32,Iris-setosa,5.4,3.4
33,Iris-setosa,5.2,4.1
34,Iris-setosa,5.5,4.2
35,Iris-setosa,4.9,3.1
36,Iris-setosa,5.0,3.2
37,Iris-setosa,5.5,3.5
38,Iris-setosa,4.9,3.1
39,Iris-setosa,4.4,3.0
40,Iris-setosa,5.1,3.4
41,Iris-setosa,5.0,3.5
42,Iris-setosa,4.5,2.3
43,Iris-setosa,4.4,3.2
44,Iris-setosa,5.0,3.5
45,Iris-setosa,5.1,3.8
46,Iris-setosa,4.8,3.0
47,Iris-setosa,5.1,3.8
48,Iris-setosa,4.6,3.2
49,Iris-setosa,5.3,3.7
50,Iris-setosa,5.0,3.3
51,Iris-versicolor,7.0,3.2
52,Iris-versicolor,6.4,3.2
53,Iris-versicolor,6.9,3.1
54,Iris-versicolor,5.5,2.3
55,Iris-versicolor,6.5,2.8
56,Iris-versicolor,5.7,2.8
57,Iris-versicolor,6.3,3.3
58,Iris-versicolor,4.9,2.4
59,Iris-versicolor,6.6,2.9
60,Iris-versicolor,5.2,2.7
61,Iris-versicolor,5.0,2.0
62,Iris-versicolor,5.9,3.0
63,Iris-versicolor,6.0,2.2
64,Iris-versicolor,6.1,2.9
65,Iris-versicolor,5.6,2.9
66,Iris-versicolor,6.7,3.1
67,Iris-versicolor,5.6,3.0
68,Iris-versicolor,5.8,2.7
69,Iris-versicolor,6.2,2.2
70,Iris-versicolor,5.6,2.5
71,Iris-versicolor,5.9,3.2
72,Iris-versicolor,6.1,2.8
73,Iris-versicolor,6.3,2.5
74,Iris-versicolor,6.1,2.8
75,Iris-versicolor,6.4,2.9
76,Iris-versicolor,6.6,3.0
77,Iris-versicolor,6.8,2.8
78,Iris-versicolor,6.7,3.0
79,Iris-versicolor,6.0,2.9
80,Iris-versicolor,5.7,2.6
81,Iris-versicolor,5.5,2.4
82,Iris-versicolor,5.5,2.4
83,Iris-versicolor,5.8,2.7
84,Iris-versicolor,6.0,2.7
85,Iris-versicolor,5.4,3.0
86,Iris-versicolor,6.0,3.4
87,Iris-versicolor,6.7,3.1
88,Iris-versicolor,6.3,2.3
89,Iris-versicolor,5.6,3.0
90,Iris-versicolor,5.5,2.5
91,Iris-versicolor,5.5,2.6
92,Iris-versicolor,6.1,3.0
93,Iris-versicolor,5.8,2.6
94,Iris-versicolor,5.0,2.3
95,Iris-versicolor,5.6,2.7
96,Iris-versicolor,5.7,3.0
97,Iris-versicolor,5.7,2.9
98,Iris-versicolor,6.2,2.9
99,Iris-versicolor,5.1,2.5
100,Iris-versicolor,5.7,2.8
101,Iris-virginica,6.3,3.3
102,Iris-virginica,5.8,2.7
103,Iris-virginica,7.1,3.0
104,Iris-virginica,6.3,2.9
105,Iris-virginica,6.5,3.0
106,Iris-virginica,7.6,3.0
107,Iris-virginica,4.9,2.5
108,Iris-virginica,7.3,2.9
109,Iris-virginica,6.7,2.5
110,Iris-virginica,7.2,3.6
111,Iris-virginica,6.5,3.2
112,Iris-virginica,6.4,2.7
113,Iris-virginica,6.8,3.0
114,Iris-virginica,5.7,2.5
115,Iris-virginica,5.8,2.8
116,Iris-virginica,6.4,3.2
117,Iris-virginica,6.5,3.0
118,Iris-virginica,7.7,3.8
119,Iris-virginica,7.7,2.6
120,Iris-virginica,6.0,2.2
121,Iris-virginica,6.9,3.2
122,Iris-virginica,5.6,2.8
123,Iris-virginica,7.7,2.8
124,Iris-virginica,6.3,2.7
125,Iris-virginica,6.7,3.3
126,Iris-virginica,7.2,3.2
127,Iris-virginica,6.2,2.8
128,Iris-virginica,6.1,3.0
129,Iris-virginica,6.4,2.8
130,Iris-virginica,7.2,3.0
131,Iris-virginica,7.4,2.8
132,Iris-virginica,7.9,3.8
133,Iris-virginica,6.4,2.8
134,Iris-virginica,6.3,2.8
135,Iris-virginica,6.1,2.6
136,Iris-virginica,7.7,3.0
137,Iris-virginica,6.3,3.4
138,Iris-virginica,6.4,3.1
139,Iris-virginica,6.0,3.0
140,Iris-virginica,6.9,3.1
141,Iris-virginica,6.7,3.1
142,Iris-virginica,6.9,3.1
143,Iris-virginica,5.8,2.7
144,Iris-virginica,6.8,3.2
145,Iris-virginica,6.7,3.3
146,Iris-virginica,6.7,3.0
147,Iris-virginica,6.3,2.5
148,Iris-virginica,6.5,3.0
149,Iris-virginica,6.2,3.4
150,Iris-virginica,5.9,3.0
